start=2014-09-18T09:01:00,end=2014-11-13T09:01:00,version=0.2.2,note=NOT FOR NAVIGATION
FAA,ICAO,NAME,STATE,LATITUDE,LONGITUDE,ELEVATION
03FA,,LAKE PERSIMMON AIRSTRIP,FL,27.3530975,-81.40812861111111,70.0
03FD,,THARPE,FL,30.828798055555556,-85.73104277777779,115.0
03FL,,RANGER,FL,26.683676944444443,-80.18726722222223,20.0
03G,,THERMAL-G,PA,42.02061388888889,-80.07071944444445,1434.0
03I,,CLARKS DREAM STRIP,OH,39.64369444444444,-83.01747222222222,680.0
03ID,,FLYING Y RANCH,ID,44.79432944444445,-116.53264638888889,3180.0
03II,,DAVIS FIELD,IN,37.96198694444444,-87.77891166666666,465.0
03IL,,WIX,IL,41.402255277777776,-87.81671333333334,750.0
03IS,,ST ANTHONY'S HOSPITAL,IL,38.905047777777774,-90.1734425,580.0
03KS,,VALLEY GRAIN,KS,39.86472055555556,-95.26414277777778,1160.0
03KY,,FLYING H FARMS,KY,37.79170944444445,-87.54139916666666,385.0
03LA,,DAMIEN,LA,30.199640833333333,-91.12788166666667,25.0
03LS,,FMC NR 1,LA,32.15903888888889,-91.70804166666667,79.0
03M,,LAKESIDE MARINA,ME,44.31522222222222,-69.88705555555555,165.0
03MA,,HADLEY,MA,42.393144722222225,-72.55203222222222,150.0
03MD,,UPPER CHESAPEAKE MEDICAL CENTER,MD,39.52249722222222,-76.32666388888889,302.0
03ME,,MAPLE RIDGE,ME,44.08423722222222,-70.62728277777778,556.0
03MI,,HAROLD MILLER,MI,43.55085666666667,-83.86219555555554,585.0
03MN,,NAUERTH LAND RANCH,MN,43.625238333333336,-95.22472222222223,1435.0
03MO,,CAHOOCHIE,MO,37.88447888888889,-93.1315811111111,1010.0
03MU,,MC DONNELL,MO,38.49251388888889,-94.41244972222222,874.0
03N,,UTIRIK,,11.233333333333333,169.85,4.0
03NC,,PILOTS RIDGE,NC,34.10433833333333,-77.90416666666667,35.0
03ND,,OLAFSON BROTHERS,ND,48.62638277777778,-97.82898333333334,1045.0
03NH,,LORDEN,NH,42.81544722222222,-71.12439444444445,400.0
03NJ,,ST. JOSEPH'S HOSPITAL,NJ,40.903505555555554,-74.16547222222222,206.0
03NM,,MINER'S COLFAX MEDICAL CENTER,NM,36.86237222222223,-104.44276388888889,6600.0
