start=2014-09-18T09:01:00,end=2014-11-13T09:01:00,version=0.2.2,note=NOT FOR NAVIGATION
AIRPORT,RUNWAY,LENGTH,LATITUDE,LONGITUDE,ELEVATION,WIDTH,LANDING_LATITUDE,LANDING_LONGITUDE,LANDING_ELEVATION
CZN,12,3000,,,,50,,,
CZN,30,3000,,,,50,,,
CZO,02,2060,62.56022355555556,-144.67648936111112,1852.7,60,,,
CZO,20,2060,62.56444916666666,-144.6684155277778,1860.7,60,,,
CXC,13,2850,61.586863888888885,-144.43261944444444,547.0,75,,,
CXC,31,2850,61.57954166666667,-144.42698611111112,547.0,75,,,
PACH,09,3401,61.580379416666666,-159.22498697222224,243.7,60,,,
PACH,27,3401,61.57774975,-159.20627244444444,205.4,60,,,
AK24,03,1400,,,,22,,,
AK24,21,1400,,,,22,,,
PACR,15,2979,65.83199633333334,-144.0761951111111,610.0,60,,,
PACR,33,2979,65.8238526111111,-144.07618094444445,613.2,60,,,
CHP,09,3669,65.48785555555556,-144.62280833333332,829.4,80,,,
CHP,27,3669,65.48395833333333,-144.60056111111112,870.2,80,,,
96AK,18,2000,,,,1400,,,
96AK,36,2000,,,,1400,,,
PFCL,18,3200,58.837849416666664,-158.5267893888889,60.5,60,,,
PFCL,36,3200,58.82952102777778,-158.53199802777777,79.6,60,,,
PACL,01,3997,64.29586847222222,-149.12358108333333,559.4,100,,,
PACL,19,3997,64.30492755555557,-149.10950166666666,543.3,100,,,
CLF,02,2500,,,,20,,,
CLF,20,2500,,,,20,,,
Z86,07,350,,,,20,,,
Z86,25,350,,,,20,,,
KCC,N,5000,,,0.0,2000,,,
KCC,S,5000,,,0.0,2000,,,
PACD,08,6235,55.19920277777778,-162.73223611111112,90.9,150,55.198975,-162.72746388888888,90.9
PACD,26,6235,55.19778055555556,-162.70249166666665,101.5,150,55.19801111111111,-162.7072638888889,101.5
PACD,15,10180,55.22236111111111,-162.73789444444446,73.1,150,,,
PACD,33,10180,55.19645555555555,-162.71991666666665,93.7,150,,,
Z87,E,2500,,,50.0,1000,,,
Z87,W,2500,,,50.0,1000,,,
Z87,N,2000,,,50.0,1000,,,
Z87,S,2000,,,50.0,1000,,,
PAAL,01,3500,,,,100,,,
PAAL,19,3500,,,,100,,,
PACX,01,4001,67.24755222222223,-150.21139944444442,1033.6,100,,,
PACX,19,4001,67.25680583333333,-150.19635694444446,1045.4,100,,,
KCR,14,3250,,,,100,,,
KCR,32,3250,,,,100,,,
JLA,04,2200,60.48260833333334,-149.7279888888889,459.0,60,,,
JLA,22,2200,60.48591944444444,-149.7178111111111,466.0,60,,,
Z93,13,2200,,,,55,,,
Z93,31,2200,,,,55,,,
PACV,09,7500,60.49670991666667,-145.49674611111112,42.3,150,,,
PACV,27,7500,60.488290388888885,-145.45882213888888,43.7,150,,,
PACV,16,1899,60.491473138888885,-145.47658655555554,51.6,30,,,
PACV,34,1899,60.48627952777778,-145.47671011111112,40.5,30,,,
AK30,09,1600,,,,200,,,
AK30,27,1600,,,,200,,,
CKU,06,1800,,,,60,,,
CKU,24,1800,,,,60,,,
CKU,09W,8000,,,5.0,3000,,,
CKU,27W,8000,,,5.0,3000,,,
K29,10,3000,64.8986,-163.71211666666667,100.0,60,,,
K29,28,3000,64.89489444444445,-163.69488055555553,89.0,60,,,
CGA,N,10000,,,0.0,2000,,,
CGA,S,10000,,,0.0,2000,,,
5C5,13,8000,,,,350,,,
5C5,31,8000,,,,350,,,
1AK0,H1,70,,,20.0,70,,,
1AK0,,70,,,,70,,,
1AK1,13,2250,,,,60,,,
1AK1,31,2250,,,,60,,,
CJX,13,2029,61.870233250000005,-158.13805911111112,178.8,60,,,
CJX,31,2029,61.86552641666667,-158.13183680555557,165.8,60,,,
PFCR,11,4913,62.036588888888886,-158.24771666666666,462.9,75,,,
PFCR,29,4913,62.02836388888888,-158.22509166666666,733.7,75,,,
1AK2,13,1160,,,,50,,,
1AK2,31,1160,,,,50,,,
DCK,08,4780,,,,75,,,
DCK,26,4780,,,,75,,,
PASC,05,6500,70.19245775,-148.49045825,66.9,150,,,
PASC,23,6500,70.19705044444444,-148.43987147222222,60.7,150,,,
PALP,03,5005,70.34012566666667,-150.96089436111112,20.8,100,,,
PALP,21,5005,70.34841813888889,-150.9285969722222,20.8,100,,,
22AK,03,2500,,,,50,,,
22AK,21,2500,,,,50,,,
PABP,03,5100,70.13388055555555,-147.04800555555553,18.0,75,,,
PABP,21,5100,70.14105277777777,-147.01286388888892,25.5,75,,,
AA03,H1,80,70.17128461111112,-146.25856963888887,9.3,80,,,
AA03,,80,,,,80,,,
PAAD,05,5000,70.13374797222222,-146.3089855,56.0,150,,,
PAAD,23,5000,70.13825661111112,-146.27106547222223,47.5,150,,,
4AK1,02,5000,69.99888083333333,-153.09132222222223,191.0,150,,,
4AK1,20,5000,70.00878055555555,-153.06381416666667,160.0,150,,,
PADE,02,3320,66.06520830555556,-162.77406975,22.6,75,,,
PADE,20,3320,66.07236561111111,-162.76033308333334,19.8,75,,,
PADE,11,2660,66.07169972222222,-162.7740645277778,29.9,75,,,
PADE,29,2660,66.06737797222222,-162.75966797222222,20.4,75,,,
PABI,01,9000,63.98637186111111,-145.73516988888886,1291.0,150,63.98874566666666,-145.7320813888889,1282.0
PABI,19,9000,64.0077345,-145.70735286111113,1225.3,150,64.00536122222222,-145.7104451388889,1232.0
PABI,07,4077,63.99147305555556,-145.73034583333333,1273.7,90,,,
